PWK	C57	AJ	129	WSB	CAS	NZO	NOD
Rab21	-0.01	0.25	0.14	0.04	0.1	-0.15	0.19	-0.22
Ndufab1	0.09	-0.22	0.63	0.53	0.09	-0.22	0.82	-0.26
Lsm4	-0.11	-0.22	-0.18	-0.21	-0.14	0.04	-0.09	-0.09
Dhrs4	0.13	0.25	-0.01	-0.14	-0.05	0.19	-0.37	0.09
Dmtn	0.44	0.25	0.03	0.33	-0.35	-0.18	0.39	0.44
Pum1	-0.13	-0.22	0.08	-0.02	0.08	-0.26	0.34	-0.04
Csnk1e	-0.11	0.24	-0.02	0.01	0.03	-0.22	0.04	-0.15
Mrpl51	0.43	-0.22	0.14	0.37	-0.11	0.06	0.42	0.31
Mfn1	0.18	0.24	0.11	0.18	0.09	-0.23	0.3	-0.17
Phip	-0.05	0.24	-0.16	-0.15	-0.07	0.09	-0.43	0.03
Rab1a	0.29	0.24	0.32	0.47	0.02	-0.13	1.21	-0.11
Wipf3	-0.14	-0.22	-0.19	-0.07	0.29	0.14	-0.22	-0.35
Eif3d	0.08	-0.22	0	0.11	-0.21	-0.18	0.12	-0.12
Slc27a1	0.18	0.24	0.13	-0.07	-0.05	-0.04	-0.26	0.1
Egln1	-0.03	-0.22	-0.13	0.17	0.18	0.07	-0.28	-0.05
Rbm5	-0.1	0.24	-0.2	-0.24	-0.11	0.19	-0.41	-0.05
Vps28	0.03	-0.22	0	-0.01	0	0	0.07	-0.02
Tinagl1	0.06	0.24	0.21	-0.01	0	0.06	-0.02	0.09
Cox6c	0.08	-0.21	0.4	0.4	-0.03	-0.17	0.61	-0.15
Psmc6	-0.16	-0.21	0.32	-0.23	0.21	-0.01	0.12	-0.03
Txnrd2	0.03	0.24	0.32	0.07	0.12	0.13	0.02	0.05
Atp5l	0.47	0.24	0.56	0.87	-0.02	-0.22	1.52	-0.16
Ccdc51	0.02	-0.21	0.16	0.22	-0.02	-0.15	0.28	-0.13
Vdac1	-0.01	-0.21	0.35	0.4	0.06	-0.19	0.5	-0.24
Nemf	0	0.24	0.24	-0.01	0.13	0.07	-0.25	0.03
Lias	0	-0.21	-0.14	-0.11	0.07	0.2	-0.15	0.1
Brd4	-0.15	0.24	-0.11	-0.31	0	0.13	-0.34	0.04
Atp5f1b	0.5	0.24	0.57	0.87	-0.03	-0.22	1.57	-0.28
Ap1m1	0.11	-0.21	-0.05	0.04	-0.3	-0.05	0.14	0.03
Slc25a35	0.02	-0.21	-0.13	0.23	-0.09	0	0.13	0.26
Mrps5	0.39	-0.21	0.19	0.21	-0.09	-0.1	0.11	0.14
Smarca2	-0.03	-0.21	0.66	-0.02	0	-0.05	-0.27	-0.04
Srek1	-0.02	0.24	-0.24	-0.49	0.16	0.06	0.03	-0.08
Igf2r	0	0.24	0.07	-0.15	-0.33	-0.01	0.21	-0.06
Usp9x	-0.14	-0.21	-0.1	-0.12	-0.08	-0.14	0	-0.04
Slc20a2	0.06	0.24	-0.04	0.06	0.06	-0.05	0.02	0.03
Wdr36	-0.03	-0.21	-0.16	0.1	-0.15	0.27	-0.12	0.03
Bdh1	0.23	-0.21	0.16	0.68	0.14	0.87	0.44	-0.02
Cep170	-0.02	-0.21	0.9	-0.01	-0.04	0.07	0.2	0.15
Coq5	-0.15	-0.21	0.03	0.91	-0.18	-0.5	0.19	0.04
NA.	0.2	-0.2	-0.2	-0.13	-0.23	0	0.23	0
Cnn1	0.04	-0.2	0.21	0.08	-0.2	-0.43	0.04	0.11
Mpp7	-0.14	-0.2	-0.03	-0.12	-0.01	-0.08	-0.18	-0.04
Hectd4	0.1	0.23	0.06	-0.02	0.08	0.13	-0.1	-0.06
Ankle2	0.02	0.23	-0.01	-0.08	-0.03	-0.06	0.15	-0.02
Slc25a51	-0.01	0.23	0.36	-0.04	0.04	0.01	0.04	0.19
Fam210a	0.12	-0.2	0.13	0.02	-0.07	0.09	0.13	0.18
Micu1	0.09	0.23	-0.04	0.12	0.01	-0.13	0.25	0.06
Kpna1	0.12	-0.2	-0.14	-0.17	-0.27	-0.02	0.15	0.1
Cox6b1	0.11	-0.2	0.46	0.36	0.02	-0.18	0.52	-0.18
Atp5f1d	0.61	0.23	0.56	0.92	-0.11	-0.26	1.58	-0.32
Gata4	-0.29	0.23	-0.19	0.09	0	0.06	-0.13	-0.11
Ppp1r10	-0.24	-0.2	-0.09	-0.25	0.16	0.06	-0.18	-0.09
Prdx3	0.11	0.23	0.15	-0.21	0.03	-0.05	-0.09	0.15
Pdlim1	0.02	0.23	0.27	0.19	0.16	-0.04	0.46	-0.19
Wipf1	0.21	-0.2	-0.23	0.18	-0.46	-0.05	-0.17	-0.03
Myh11	0.17	-0.2	0.04	-0.13	-0.1	-0.27	-0.21	0.06
Dcakd	0	0.23	0.18	-0.35	-0.13	0.05	0.05	-0.02
Cma1	-0.11	0.23	-0.24	-0.08	0.98	0.13	-0.22	-0.28
Mrps30	0.01	-0.2	-0.07	0.09	-0.13	-0.15	0.24	0.14
Pacsin2	0.25	0.22	0.35	0.34	-0.07	0.09	0.29	0.15
RtcA	0.01	-0.2	0.06	0.04	-0.02	-0.39	0.17	0.14
Ndufa2	0.18	-0.2	0.5	0.46	0.02	-0.16	0.68	-0.23
Prdx1	0.13	-0.2	-0.19	0.1	0.02	0.01	-1.14	0.07
Myl6b	0	0.22	0.23	-0.33	0.19	0.2	-0.36	-0.11
Erlin1	0.12	0.22	0.04	0.02	0.15	0.28	0.31	-0.17
Ssbp1	0.06	-0.2	0.09	0.02	-0.05	0.03	-0.06	0.06
Myh13	-0.24	0.22	-0.02	-0.16	0.1	0.08	-0.31	-0.08
Aldoa	-0.1	-0.2	-0.02	0.2	0.18	-0.06	-0.12	-0.14
Mapkapk2	0.03	-0.19	0.39	0.09	0.15	0.17	-0.02	-0.06
Cox4i1	0.11	-0.19	0.52	0.41	0.06	-0.18	0.58	-0.2
